product_id;price;date
;;2023-05-31 14:44:30.747837
64856;7910.0;
64857;7075.0;
64858;9500.0;
64861;5063.0;
64862;456.0;
64863;456.0;
64864;506.0;
64865;506.0;
64966;15550.0;
64967;16900.0;
64968;15550.0;
64969;16900.0;
64970;15550.0;
64971;16900.0;
64972;15000.0;
64973;15000.0;
64974;15000.0;
64975;15000.0;
64976;11000.0;
64977;11000.0;
65002;10935.0;
65003;10935.0;
65004;10935.0;
65005;10935.0;
65006;10935.0;
65007;10935.0;
65008;10935.0;
65009;10935.0;
65010;10935.0;
65011;10935.0;
65012;10935.0;
65013;10935.0;
65014;10935.0;
65015;10935.0;
65016;10935.0;
65017;10935.0;
65018;16450.0;
65019;16450.0;
65020;16450.0;
65021;16450.0;
65022;16450.0;
65023;16450.0;
65024;16450.0;
65025;16450.0;
65026;16450.0;
65027;16450.0;
65028;16000.0;
65029;16000.0;
65030;16000.0;
65031;16000.0;
65033;16000.0;
65034;16000.0;
65035;16000.0;
65037;16000.0;
65038;16000.0;
65039;16000.0;
65040;16000.0;
65041;16000.0;
65042;16000.0;
65043;13720.0;
65044;13720.0;
65045;13720.0;
65046;13720.0;
65047;13720.0;
65048;13720.0;
65049;13720.0;
65050;13720.0;
65051;13720.0;
65052;13720.0;
65053;13720.0;
65054;13720.0;
65055;12265.0;
65056;12265.0;
65057;12265.0;
65058;12265.0;
65059;12265.0;
65060;12265.0;
65061;12265.0;
65062;12265.0;
65063;12265.0;
65064;12265.0;
65065;6685.0;
65067;6375.0;
65068;6375.0;
65069;8500.0;
65070;8500.0;
65071;8500.0;
65072;5750.0;
65073;6250.0;
65077;3465.0;
65080;4220.0;
65081;4220.0;
65082;4220.0;
65083;4220.0;
65084;4220.0;
65085;4220.0;
65086;4220.0;
65087;4220.0;
65088;4220.0;
65089;4220.0;
65090;4220.0;
65091;5065.0;
65093;10350.0;
65094;12000.0;
65095;4220.0;
65096;4220.0;
65097;4220.0;
65098;4220.0;
65099;4220.0;
65100;4220.0;
65101;4220.0;
65102;4220.0;
65103;4220.0;
65104;4220.0;
65105;4220.0;
65106;4220.0;
65107;4220.0;
65108;4220.0;
65109;4220.0;
65110;4220.0;
65111;4220.0;
65112;4220.0;
65113;4220.0;
65114;4220.0;
65115;4220.0;
65116;4220.0;
65117;4220.0;
65118;4220.0;
65128;9315.0;
65129;9315.0;
65130;9315.0;
65131;9315.0;
65132;9315.0;
65133;9315.0;
65137;7280.0;
65138;7920.0;
65139;7920.0;
65140;7280.0;
65141;7920.0;
65142;7280.0;
65143;7920.0;
65144;7280.0;
65145;7920.0;
65146;7280.0;
65147;7920.0;
65148;7280.0;
65149;7920.0;
65150;7280.0;
65151;7920.0;
65152;7280.0;
65153;7920.0;
65154;7280.0;
65155;2800.0;
65156;5200.0;
65157;5200.0;
65158;5200.0;
65159;5200.0;
65160;5200.0;
65161;5200.0;
65162;5200.0;
65163;5200.0;
65164;5200.0;
65165;7960.0;
65166;7960.0;
65167;7960.0;
65168;7960.0;
65169;7960.0;
65170;7960.0;
65171;7960.0;
65172;7960.0;
65173;7960.0;
65174;7960.0;
65175;7960.0;
65176;7960.0;
65177;7960.0;
65178;7960.0;
65179;7960.0;
65180;7960.0;
65181;7960.0;
65182;7960.0;
65183;4950.0;
65184;5060.0;
65185;5060.0;
65186;5970.0;
65187;5970.0;
65188;5970.0;
65189;4950.0;
65190;5060.0;
65191;5060.0;
65192;5970.0;
65193;5970.0;
65194;5970.0;
65195;4450.0;
65196;4450.0;
65197;4450.0;
65198;4450.0;
65199;5490.0;
65200;5490.0;
65201;6280.0;
65202;5490.0;
65203;5800.0;
65204;6280.0;
65205;5490.0;
65206;5800.0;
65207;6280.0;
65208;5490.0;
65209;5800.0;
65210;6280.0;
65211;5490.0;
65212;5800.0;
65213;6280.0;
65214;5490.0;
65215;5800.0;
65216;6280.0;
65217;7256.0;
65218;6500.0;
65219;4450.0;
65220;4800.0;
65221;4200.0;
65222;4200.0;
65223;4800.0;
65225;9660.0;
65226;13500.0;
65227;14006.0;
65228;14006.0;
65229;14006.0;
65230;14006.0;
65231;14006.0;
65232;14006.0;
65233;14006.0;
65234;14006.0;
65235;14006.0;
65236;14006.0;
65237;14006.0;
65238;14006.0;
65239;14006.0;
65240;14006.0;
65241;13500.0;
65242;14006.0;
67202;6244.0;
67203;6244.0;
67205;6244.0;
67210;7679.0;
67221;7679.0;
67224;7679.0;
67225;7679.0;
67227;9315.0;
67231;7679.0;
67238;7763.0;
67239;9315.0;
67240;9315.0;
67241;9315.0;
67242;9315.0;
67243;9315.0;
67244;9315.0;
67245;9315.0;
67246;9315.0;
67247;9315.0;
67248;9315.0;
67249;9315.0;
67250;9315.0;
67251;9315.0;
67252;9315.0;
67253;9315.0;
67254;9315.0;
67255;9315.0;
67256;9315.0;
67257;9315.0;
67258;9315.0;
